movie_id,actor_id,id,quote
1,1,1,"Think about it. Everything we did. All those people we saved. Look what it got us. But what if, just once, we did something for us?"
1,3,2,"[to Scott] It's not a matter of "think." It's a matter of "is." And it is a bad goddamn idea."
2,4,3,"You don't think it's paranoid if I wanna change the locks. Do you?"
2,5,4,"See you at the block party!"
3,8,5,"Everyone, this is Alfred. I work for him."
3,7,6,"Not impressed."
4,10,7,"How many of the others are also awake?"
5,13,8,"I've lived a lot of lives... But I'm done running from my past."
5,15,9,"We're family. We fight with you!"
6,16,10,"So, when you run around totally wasted, throwing up in bushes and alleys, don't feel alone, because you're in great company."
6,16,11,"No I'm not indifferent. It's not easy to learn when you've got your head stuck in your phone."
8,22,12,"It's a weird case from the start. A case with a hole in the center. A doughnut."
8,22,13,"I spoke in the car about the hole at the center of this doughnut. And yes, what you and Harlan did that fateful night seems at first glance to fill that hole perfectly. A doughnut hole in the doughnut's hole. But we must look a little closer. And when we do, we see that the doughnut hole has a hole in its center - it is not a doughnut hole at all but a smaller doughnut with its own hole, and our doughnut is not whole at all!"
9,26,14,"If my calculations are correct, when this baby hits 88 miles per hour... you're gonna see some serious shit."
9,26,15,"Great Scott!"
10,29,16,"Jack, I want you to draw me like one of your French girls. Wearing this..."
10,28,17,"[yelling, standing on the bow with his arms stretched outwards] I'm the king of the world!"
11,31,18,RUN!
12,34,19,"I'm just getting started, darling."
12,35,20,"She killed my dogs. And made a coat."
13,37,21,"The world is broken, you can't trust anyone."
13,38,22,"Maybe it's broken, because you don't trust anyone, you just have to take the first step."
14,42,23,"Yeah, no, we stay in touch for sure. Maybe not every day."
14,42,24,"But, you know, we have such a bond from having done this show and forged this very tight relationship that, you know, any time you text or call someone, they're going to pick up. They'll be there."
15,45,25,"I am Linda Mitchell, mother of two. Look upon me in fear!"
15,43,26,"[as Monchi] I'm here to bust criminals and lick my own butt. And I'm all out of criminals."
17,49,27,"[from trailer] No one ever made a difference by being like everyone else."
17,50,28,"You don't need everyone to love you, Phin. Just a few good people!"
18,52,29,"I feel as if I'm losing my all leaves..."
18,52,30,"Paris. They don't even speak English there."
