id,artist,name
1,"Elvis Presley","Suspicious Minds"
2,"Mark Jonathan Davis (as Richard Cheese) and Allison Crowe","Viva Las Vegas"
3,"Fred Kercy","The Café"
4,"The Warner Bros. Studio Orchestra","Operation Montage"
5,"Jón Ásgeirsson","Vísur Vatnsenda-Rósu"
6,"Nick Cave & The Bad Seeds","Distant Sky"
7,"Scarlet Pleasure","What a Life"
8,"Sangselskabet Guldbergs Akademiske Kor","Hvila vid denna källa (Fredmans epistel N:o 82)"
9,"John Mogensen","Åh hvilken herlig nat"
10,"Tal Bergman","The Inspector"
11,"Roxy Music","More Than This"
12,"Huey Lewis and Chris Hayes","THE POWER OF LOVE"
13,"Huey Lewis and Chris Hayes","BACK IN TIME"
14,"James Horner","Never an Absolution"
15,"James Horner","Distant Memories"
16,Supertramp,"Bloody Well Right"
17,"The Bee Gees","Whisper Whisper"
18,"Jhené Aiko","Lead the Way"
19,"Rupert Pope and John Robertson",Delicate
20,"The Mae Shi","Lamb and the Lion"
21,"Los Campesinos!","Death to Los Campesinos!"
22,P!NK,"Get This Party Started"
23,P!NK,"I Am Here (Instrumental)"
24,"Loren Allred","Never Enough"
25,"Hugh Jackman & Zac Efron","The Other Side"
26,"Andreas Scholl","King Arthur, or The British Worthy (1691) / Act 3 - What Power art thou?"
27,"Cyrille Dubois","Les Pêcheurs de Perles - Je crois entendre encore"
